day_label,date,activity,type,time_1,timezone_1_label
November 4,2025-11-04,Arrivals & Check-in,break,12:00,"Time (AT)"
November 4,2025-11-04,"Welcome (Ben Fisher)",activity,13:00,"Time (AT)"
November 4,2025-11-04,Module 1,activity,13:30,"Time (AT)"
November 4,2025-11-04,Break (15min),break,14:30,"Time (AT)"
November 4,2025-11-04,Module 2,activity,14:45,"Time (AT)"
November 4,2025-11-04,Module 2 Lab,activity,15:45,"Time (AT)"
November 4,2025-11-04,Break (15min),break,16:45,"Time (AT)"
November 4,2025-11-04,Module 2 Lab Continued,activity,17:00,"Time (AT)"
November 4,2025-11-04,Finished,break,18:30,"Time (AT)"
November 5,2025-11-05,Arrivals,break,08:30,"Time (AT)"
November 5,2025-11-05,Module 3,activity,09:00,"Time (AT)"
November 5,2025-11-05,Module 3 Lab,activity,10:00,"Time (AT)"
November 5,2025-11-05,Break (30min),break,10:30,"Time (AT)"
November 5,2025-11-05,Module 3 Lab Continued,activity,11:00,"Time (AT)"
November 5,2025-11-05,Class photo + Lunch (1h),break,12:30,"Time (AT)"
November 5,2025-11-05,Module 4,activity,13:30,"Time (AT)"
November 5,2025-11-05,Module 4 Lab,activity,14:30,"Time (AT)"
November 5,2025-11-05,Break (30min),break,15:00,"Time (AT)"
November 5,2025-11-05,Module 4 Lab Continued,activity,15:30,"Time (AT)"
November 5,2025-11-05,Closing Remarks,break,17:00,"Time (AT)"
November 5,2025-11-05,Finished,break,17:30,"Time (AT)"
